name,language,stars
sg2im,Python,1.3k
namebench,Go,923
flight-lab,Python,15
nccl-plugin-gpudirecttcpx,C++,14
zazu,TypeScript,21
codewords,TypeScript,11
voice-builder,JavaScript,679
dynamic-form,TypeScript,30
werewolf_arena,Python,40
cargo-raze,Rust,481
safetext,Go,150
daguerreotype,TypeScript,9
sgtm-migrator,TypeScript,17
BIG-bench,Python,3.2k
feedloader,Python,13
wikiloop-explorer,Vue,8
nodejs-container-image-builder,TypeScript,73
node-fastify-auto-push,TypeScript,101
streetview-publish-client-libraries,Java,19
defi-for-good-contracts,TypeScript,14
oodle-demo,HTML,83
making_with_ml,Jupyter Notebook,348
centaur,TypeScript,12
poseshield-tfjs,Vue,14
personfinder,Python,540
ai_assisted_display_creative,Python,16
automated-native-creatives,TypeScript,16
budoux-illustrator-script,TypeScript,20
aoss-django-sample-starter-project,Shell,6
nanopb-podspec,Ruby,7
setfilters,Java,10
agamotto,Python,18
balloon-learning-environment,Python,125
seatera,Python,18
diffseg,Jupyter Notebook,327
window-mirror,C#,18
keyword_factory,Python,41
merchant_center_repor_builder,Python,11
inspiration_tree,Jupyter Notebook,77
brain-tokyo-workshop,Jupyter Notebook,1.3k
taxonomy_wizard,Python,13
mandiant-ti-client,Python,19
vertex-pipelines-boilerplate,Python,10
project_cartesian,Python,20
android-emulator-webrtc,JavaScript,149
password-sync-support-tool,VBScript,34
jsonapi,Go,1.4k
ad-manager-alerter,Python,27
looker-studio-dashboard-cloner,TypeScript,36
gcp-scc-iac-validation-utils,Go,2
iconvg,C,682
playhvz,Kotlin,26
assetMG,TypeScript,7
bulkan,TypeScript,7
